Date,Sensor
2022-12-04 03:31:11,4224
2022-12-04 03:31:12,4683
2022-12-04 03:31:13,2457
2022-12-04 03:31:14,4991
2022-12-04 03:31:15,4683
2022-12-04 03:31:16,4452
2022-12-04 03:31:17,5374
2022-12-04 03:31:18,5297
2022-12-04 03:31:19,5528
2022-12-04 03:31:20,4914
2022-12-04 03:31:21,4683
2022-12-04 03:31:22,2226
2022-12-04 03:31:23,2534
2022-12-04 03:31:24,4606
2022-12-04 03:31:25,5836
2022-12-04 03:31:26,4301
2022-12-04 03:31:27,2303
2022-12-04 03:31:28,3456
2022-12-04 03:31:29,2149
2022-12-04 03:31:30,2840
2022-12-04 03:31:31,2765
2022-12-04 03:31:32,2840
2022-12-04 03:31:33,1612
2022-12-04 03:31:34,1535
2022-12-04 03:31:35,1612
2022-12-04 03:31:36,1920
2022-12-04 03:31:37,1381
2022-12-04 03:31:38,4837
2022-12-04 03:31:39,2149
2022-12-04 03:31:40,3071
2022-12-04 03:31:41,1689
2022-12-04 03:31:42,3148
2022-12-04 03:31:43,2534
2022-12-04 03:31:44,1304
2022-12-04 03:31:45,2149
2022-12-04 03:31:46,1997
2022-12-04 03:31:47,2380
2022-12-04 03:31:48,1458
2022-12-04 03:31:49,1843
2022-12-04 03:31:50,2149
2022-12-04 03:31:51,1458
2022-12-04 03:31:52,2840
2022-12-04 03:31:53,1304
2022-12-04 03:31:54,1612
2022-12-04 03:31:55,2765
2022-12-04 03:31:56,1920
2022-12-04 03:31:57,2380
2022-12-04 03:31:58,2149
2022-12-04 03:31:59,1612
2022-12-04 03:32:00,1152
2022-12-04 03:32:01,1227
2022-12-04 03:32:02,3302
2022-12-04 03:32:03,1152
2022-12-04 03:32:04,2534
2022-12-04 03:32:05,2072
2022-12-04 03:32:06,2149
2022-12-04 03:32:07,1381
2022-12-04 03:32:08,1920
2022-12-04 03:32:09,1843
2022-12-04 03:32:10,2303
2022-12-04 03:32:11,2380
2022-12-04 03:32:12,1458
2022-12-04 03:32:13,2534
2022-12-04 03:32:14,1304
2022-12-04 03:32:15,1152
2022-12-04 03:32:16,1612
2022-12-04 03:32:17,1689
2022-12-04 03:32:18,2380
2022-12-04 03:32:19,1843
2022-12-04 03:32:20,3071
2022-12-04 03:32:21,3071
2022-12-04 03:32:22,4452
2022-12-04 03:32:23,2840
2022-12-04 03:32:24,3839
2022-12-04 03:32:25,3225
2022-12-04 03:32:26,2534
2022-12-04 03:32:27,2380
2022-12-04 03:32:28,3148
2022-12-04 03:32:29,2380
2022-12-04 03:32:30,2149
2022-12-04 03:32:31,2765
2022-12-04 03:32:32,4301
2022-12-04 03:32:33,4606
2022-12-04 03:32:34,5528
2022-12-04 03:32:35,2303
2022-12-04 03:32:36,5990
2022-12-04 03:32:37,1689
2022-12-04 03:32:38,3839
2022-12-04 03:32:39,3533
2022-12-04 03:32:40,5836
2022-12-04 03:32:41,2765
2022-12-04 03:32:42,2534
2022-12-04 03:32:43,2765
2022-12-04 03:32:44,1612
2022-12-04 03:32:45,2380
2022-12-04 03:32:46,4378
2022-12-04 03:32:47,2226
2022-12-04 03:32:48,3225
2022-12-04 03:32:49,1843
2022-12-04 03:32:50,3379
2022-12-04 03:32:51,3533
2022-12-04 03:32:52,2149
2022-12-04 03:32:53,5836
2022-12-04 03:32:54,2149
2022-12-04 03:32:55,2534
2022-12-04 03:32:56,1612
2022-12-04 03:32:57,2765
2022-12-04 03:32:58,4301
2022-12-04 03:32:59,2917
2022-12-04 03:33:00,1843
2022-12-04 03:33:01,1997
2022-12-04 03:33:02,3916
2022-12-04 03:33:03,2072
2022-12-04 03:33:04,2765
2022-12-04 03:33:05,3762
2022-12-04 03:33:06,5759
2022-12-04 03:33:07,3839
2022-12-04 03:33:08,2303
2022-12-04 03:33:09,3916
2022-12-04 03:33:10,5913
2022-12-04 03:33:11,4991
2022-12-04 03:33:12,2840
2022-12-04 03:33:13,3225
2022-12-04 03:33:14,2534
2022-12-04 03:33:15,2611
2022-12-04 03:33:16,2534
2022-12-04 03:33:17,2380
2022-12-04 03:33:18,2226
2022-12-04 03:33:19,1381
2022-12-04 03:33:20,2380
2022-12-04 03:33:21,1535
2022-12-04 03:33:22,2072
2022-12-04 03:33:23,3456
2022-12-04 03:33:24,3762
2022-12-04 03:33:25,5145
2022-12-04 03:33:26,5297
2022-12-04 03:33:27,3533
2022-12-04 03:33:28,3533
2022-12-04 03:33:29,2226
2022-12-04 03:33:30,4378
2022-12-04 03:33:31,4378
2022-12-04 03:33:32,3916
2022-12-04 03:33:33,3225
2022-12-04 03:33:34,2534
2022-12-04 03:33:35,3533
2022-12-04 03:33:36,2534
2022-12-04 03:33:37,2534
2022-12-04 03:33:38,3148
2022-12-04 03:33:39,1689
2022-12-04 03:33:40,3225
2022-12-04 03:33:41,3533
2022-12-04 03:33:42,3071
2022-12-04 03:33:43,3456
2022-12-04 03:33:44,3916
2022-12-04 03:33:45,3916
2022-12-04 03:33:46,2303
2022-12-04 03:33:47,4301
2022-12-04 03:33:48,3839
2022-12-04 03:33:49,2303
2022-12-04 03:33:50,2994
2022-12-04 03:33:51,2380
2022-12-04 03:33:52,3302
2022-12-04 03:33:53,3225
2022-12-04 03:33:54,2380
2022-12-04 03:33:55,2380
2022-12-04 03:33:56,2765
2022-12-04 03:33:57,1689
2022-12-04 03:33:58,2149
2022-12-04 03:33:59,4683
2022-12-04 03:34:00,2380
2022-12-04 03:34:01,3533
2022-12-04 03:34:02,2994
2022-12-04 03:34:03,3993
2022-12-04 03:34:04,3225
2022-12-04 03:34:05,1920
2022-12-04 03:34:06,1535
2022-12-04 03:34:07,1535
2022-12-04 03:34:08,3225
2022-12-04 03:34:09,5913
2022-12-04 03:34:10,3071
2022-12-04 03:34:11,1304
2022-12-04 03:34:12,2840
2022-12-04 03:34:13,3071
2022-12-04 03:34:14,3916
2022-12-04 03:34:15,4301
2022-12-04 03:34:16,3839
2022-12-04 03:34:17,2226
2022-12-04 03:34:18,1612
2022-12-04 03:34:19,3071
2022-12-04 03:34:20,3533
2022-12-04 03:34:21,1997
2022-12-04 03:34:22,4224
2022-12-04 03:34:23,6142
2022-12-04 03:34:24,3762
2022-12-04 03:34:25,2917
2022-12-04 03:34:26,3762
2022-12-04 03:34:27,3071
2022-12-04 03:34:28,4606
2022-12-04 03:34:29,2457
2022-12-04 03:34:30,3148
2022-12-04 03:34:31,3148
2022-12-04 03:34:32,3533
2022-12-04 03:34:33,3762
2022-12-04 03:34:34,2380
2022-12-04 03:34:35,5374
2022-12-04 03:34:36,3533
2022-12-04 03:34:37,3148
2022-12-04 03:34:38,2380
2022-12-04 03:34:39,2303
2022-12-04 03:34:40,6142
2022-12-04 03:34:41,2149
2022-12-04 03:34:42,3148
2022-12-04 03:34:43,2380
2022-12-04 03:34:44,2457
2022-12-04 03:34:45,3916
2022-12-04 03:34:46,3148
2022-12-04 03:34:47,4224
2022-12-04 03:34:48,2534
2022-12-04 03:34:49,2149
2022-12-04 03:34:50,2226
2022-12-04 03:34:51,5913
2022-12-04 03:34:52,2072
2022-12-04 03:34:53,2226
2022-12-04 03:34:54,2380
2022-12-04 03:34:55,4224
2022-12-04 03:34:56,3993
2022-12-04 03:34:57,3071
2022-12-04 03:34:58,2994
2022-12-04 03:34:59,3533
2022-12-04 03:35:00,4378
2022-12-04 03:35:01,2840
2022-12-04 03:35:02,3762
2022-12-04 03:35:03,3379
2022-12-04 03:35:04,5068
2022-12-04 03:35:05,4301
2022-12-04 03:35:06,4683
2022-12-04 03:35:07,2226
2022-12-04 03:35:08,5068
2022-12-04 03:35:09,4224
2022-12-04 03:35:10,1612
2022-12-04 03:35:11,5297
2022-12-04 03:35:12,3533
2022-12-04 03:35:13,3762
2022-12-04 03:35:14,3533
2022-12-04 03:35:15,3993
2022-12-04 03:35:17,2765
2022-12-04 03:35:17,2226
2022-12-04 03:35:19,2303
2022-12-04 03:35:20,4452
2022-12-04 03:35:21,2917
2022-12-04 03:35:22,2534
2022-12-04 03:35:23,4224
2022-12-04 03:35:24,1843
2022-12-04 03:35:25,4991
2022-12-04 03:35:26,4378
2022-12-04 03:35:27,2611
2022-12-04 03:35:28,3993
2022-12-04 03:35:29,3302
2022-12-04 03:35:30,4760
2022-12-04 03:35:31,5682
2022-12-04 03:35:32,4683
2022-12-04 03:35:33,5145
2022-12-04 03:35:34,4606
2022-12-04 03:35:35,4914
2022-12-04 03:35:36,5297
2022-12-04 03:35:37,5220
2022-12-04 03:35:38,5068
2022-12-04 03:35:39,2457
2022-12-04 03:35:40,3839
2022-12-04 03:35:41,2765
2022-12-04 03:35:42,3533
2022-12-04 03:35:43,4991
2022-12-04 03:35:44,3762
2022-12-04 03:35:45,3148
2022-12-04 03:35:46,2303
2022-12-04 03:35:47,4378
2022-12-04 03:35:48,3839
2022-12-04 03:35:49,2765
2022-12-04 03:35:50,4301
2022-12-04 03:35:51,3456
2022-12-04 03:35:52,2840
2022-12-04 03:35:53,4070
2022-12-04 03:35:54,3916
2022-12-04 03:35:55,5220
2022-12-04 03:35:56,3302
2022-12-04 03:35:57,3839
2022-12-04 03:35:58,3071
2022-12-04 03:35:59,2611
2022-12-04 03:36:00,4760
2022-12-04 03:36:01,3302
2022-12-04 03:36:02,4683
2022-12-04 03:36:03,3762
2022-12-04 03:36:04,2380
2022-12-04 03:36:05,3993
2022-12-04 03:36:06,3225
2022-12-04 03:36:07,2840
2022-12-04 03:36:08,2149
2022-12-04 03:36:09,2917
2022-12-04 03:36:10,2380
2022-12-04 03:36:11,2611
2022-12-04 03:36:12,3302
2022-12-04 03:36:13,2611
2022-12-04 03:36:14,3533
2022-12-04 03:36:15,3302
2022-12-04 03:36:16,2149
2022-12-04 03:36:17,3071
2022-12-04 03:36:18,2380
2022-12-04 03:36:19,3685
2022-12-04 03:36:20,3071
2022-12-04 03:36:21,3916
2022-12-04 03:36:22,2840
2022-12-04 03:36:23,2380
2022-12-04 03:36:24,2765
2022-12-04 03:36:25,2994
2022-12-04 03:36:26,3762
2022-12-04 03:36:27,3685
2022-12-04 03:36:28,4991
2022-12-04 03:36:29,5068
2022-12-04 03:36:30,2072
2022-12-04 03:36:31,5297
2022-12-04 03:36:32,2072
2022-12-04 03:36:33,3225
2022-12-04 03:36:34,3071
2022-12-04 03:36:35,2917
2022-12-04 03:36:36,3302
2022-12-04 03:36:37,3762
2022-12-04 03:36:38,2765
2022-12-04 03:36:39,2226
2022-12-04 03:36:40,4301
2022-12-04 03:36:41,4760
2022-12-04 03:36:42,4914
2022-12-04 03:36:43,3302
2022-12-04 03:36:44,3685
2022-12-04 03:36:45,5145
2022-12-04 03:36:46,4914
2022-12-04 03:36:47,3916
2022-12-04 03:36:48,3148
2022-12-04 03:36:49,3993
2022-12-04 03:36:50,3302
2022-12-04 03:36:51,3225
2022-12-04 03:36:52,4224
2022-12-04 03:36:53,2917
2022-12-04 03:36:54,4914
2022-12-04 03:36:55,4224
2022-12-04 03:36:56,4606
2022-12-04 03:36:57,4914
2022-12-04 03:36:58,2765
2022-12-04 03:36:59,5913
2022-12-04 03:37:00,3839
2022-12-04 03:37:01,4070
2022-12-04 03:37:02,3762
2022-12-04 03:37:03,4224
2022-12-04 03:37:04,4070
2022-12-04 03:37:05,3839
2022-12-04 03:37:06,2765
2022-12-04 03:37:07,3839
2022-12-04 03:37:08,3685
2022-12-04 03:37:09,4683
2022-12-04 03:37:10,3839
2022-12-04 03:37:11,4914
2022-12-04 03:37:12,3762
2022-12-04 03:37:13,3071
2022-12-04 03:37:14,5220
2022-12-04 03:37:15,4683
2022-12-04 03:37:16,4837
2022-12-04 03:37:17,4837
2022-12-04 03:37:18,4224
2022-12-04 03:37:19,3685
2022-12-04 03:37:20,5605
2022-12-04 03:37:21,5297
2022-12-04 03:37:22,4683
2022-12-04 03:37:23,4914
2022-12-04 03:37:24,5220
2022-12-04 03:37:25,5145
2022-12-04 03:37:26,4760
2022-12-04 03:37:27,3916
2022-12-04 03:37:28,5220
2022-12-04 03:37:29,5374
2022-12-04 03:37:30,5682
2022-12-04 03:37:31,4991
2022-12-04 03:37:32,3993
2022-12-04 03:37:33,5913
2022-12-04 03:37:34,3916
2022-12-04 03:37:35,3225
2022-12-04 03:37:36,4452
2022-12-04 03:37:37,4683
2022-12-04 03:37:38,3302
2022-12-04 03:37:39,3533
2022-12-04 03:37:40,4378
2022-12-04 03:37:41,5759
2022-12-04 03:37:42,4378
2022-12-04 03:37:43,3839
2022-12-04 03:37:44,5145
2022-12-04 03:37:45,5374
2022-12-04 03:37:46,4760
2022-12-04 03:37:47,5297
2022-12-04 03:37:48,3916
2022-12-04 03:37:49,3685
2022-12-04 03:37:50,3762
2022-12-04 03:37:51,4606
2022-12-04 03:37:52,3456
2022-12-04 03:37:53,4683
2022-12-04 03:37:54,4378
2022-12-04 03:37:55,2917
2022-12-04 03:37:56,4914
2022-12-04 03:37:57,3533
2022-12-04 03:37:58,3225
2022-12-04 03:37:59,4683
2022-12-04 03:38:00,5682
2022-12-04 03:38:01,5990
2022-12-04 03:38:02,4991
2022-12-04 03:38:03,4837
2022-12-04 03:38:04,5374
2022-12-04 03:38:05,5220
2022-12-04 03:38:06,4914
2022-12-04 03:38:07,4683
2022-12-04 03:38:08,4683
2022-12-04 03:38:09,4606
2022-12-04 03:38:10,5145
2022-12-04 03:38:11,4301
2022-12-04 03:38:12,4452
2022-12-04 03:38:13,3379
2022-12-04 03:38:14,3533
2022-12-04 03:38:15,4760
2022-12-04 03:38:16,2457
2022-12-04 03:38:17,4914
2022-12-04 03:38:18,4452
2022-12-04 03:38:19,4760
2022-12-04 03:38:20,3456
2022-12-04 03:38:21,4914
2022-12-04 03:38:22,3993
2022-12-04 03:38:23,2765
2022-12-04 03:38:24,5145
2022-12-04 03:38:25,4224
2022-12-04 03:38:26,2072
2022-12-04 03:38:27,3839
2022-12-04 03:38:28,4683
2022-12-04 03:38:29,3225
2022-12-04 03:38:30,2765
2022-12-04 03:38:31,2917
2022-12-04 03:38:32,2226
2022-12-04 03:38:33,2149
2022-12-04 03:38:34,2840
2022-12-04 03:38:35,2226
2022-12-04 03:38:36,5068
2022-12-04 03:38:37,1612
2022-12-04 03:38:38,2534
2022-12-04 03:38:39,2765
2022-12-04 03:38:40,2072
2022-12-04 03:38:41,4606
2022-12-04 03:38:42,2457
2022-12-04 03:38:43,2534
2022-12-04 03:38:44,3456
2022-12-04 03:38:45,2303
2022-12-04 03:38:46,4378
2022-12-04 03:38:47,3071
2022-12-04 03:38:48,2149
2022-12-04 03:38:49,3762
2022-12-04 03:38:50,4991
2022-12-04 03:38:51,3916
2022-12-04 03:38:52,2303
2022-12-04 03:38:53,2149
2022-12-04 03:38:54,5836
2022-12-04 03:38:55,2380
2022-12-04 03:38:56,3148
2022-12-04 03:38:57,2917
2022-12-04 03:38:58,1920
2022-12-04 03:38:59,2765
2022-12-04 03:39:00,2380
2022-12-04 03:39:01,4378
2022-12-04 03:39:02,2380
2022-12-04 03:39:03,3916
2022-12-04 03:39:04,2534
2022-12-04 03:39:05,4301
2022-12-04 03:39:06,2534
2022-12-04 03:39:07,2380
2022-12-04 03:39:08,2917
2022-12-04 03:39:09,3685
2022-12-04 03:39:10,3839
2022-12-04 03:39:11,4991
2022-12-04 03:39:12,3071
2022-12-04 03:39:13,3685
2022-12-04 03:39:14,2457
2022-12-04 03:39:15,2457
2022-12-04 03:39:16,3071
2022-12-04 03:39:17,5913
2022-12-04 03:39:18,2380
2022-12-04 03:39:19,1843
2022-12-04 03:39:20,3225
2022-12-04 03:39:21,5068
2022-12-04 03:39:22,3302
2022-12-04 03:39:23,2917
2022-12-04 03:39:24,3148
2022-12-04 03:39:25,4301
2022-12-04 03:39:26,3302
2022-12-04 03:39:27,3148
2022-12-04 03:39:28,2917
2022-12-04 03:39:29,5297
2022-12-04 03:39:30,2072
2022-12-04 03:39:31,3071
2022-12-04 03:39:32,1612
2022-12-04 03:39:33,2917
2022-12-04 03:39:34,4224
2022-12-04 03:39:35,3456
